timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583589926907,20,Home Page,200,OK,Scenario 1 1-11,text,true,,2687,373,150,150,http://localhost/cookieweb/default.asp,20,0,0
1583589926911,18,Home Page,200,OK,Scenario 1 1-143,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,18,0,0
1583589926918,21,Home Page,200,OK,Scenario 1 1-10,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,21,0,1
1583589926918,21,Home Page,200,OK,Scenario 1 1-30,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,21,0,1
1583589926921,19,Home Page,200,OK,Scenario 1 1-107,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,19,0,1
1583589926925,18,Home Page,200,OK,Scenario 1 1-118,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,17,0,0
1583589926930,16,Home Page,200,OK,Scenario 1 1-65,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,16,0,0
1583589926921,26,Home Page,200,OK,Scenario 1 1-135,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,26,0,0
1583589926944,12,Home Page,200,OK,Scenario 1 1-24,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926955,12,Home Page,200,OK,Scenario 1 1-3,text,true,,2688,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926958,12,Home Page,200,OK,Scenario 1 1-33,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926962,11,Home Page,200,OK,Scenario 1 1-69,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,10,0,0
1583589926977,11,Home Page,200,OK,Scenario 1 1-37,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,1
1583589926988,14,Home Page,200,OK,Scenario 1 1-36,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926990,14,Home Page,200,OK,Scenario 1 1-31,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926990,15,Home Page,200,OK,Scenario 1 1-109,text,true,,2697,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926992,13,Home Page,200,OK,Scenario 1 1-70,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589927004,12,Home Page,200,OK,Scenario 1 1-41,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589927017,12,Home Page,200,OK,Scenario 1 1-6,text,true,,2684,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
